date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho,days_to_expiration
2024-01-05,AAPL,2024-02-23,140.0,Call,40.7,43.2,0.3576,0.9811,0.0019,-0.0311,0.0304,0.1817,49 days
2024-01-05,AAPL,2024-02-23,145.0,Call,36.8,37.7,0.34,0.9711,0.0029,-0.0356,0.0436,0.1858,49 days
2024-01-05,AAPL,2024-02-23,150.0,Call,31.4,32.9,0.2626,0.9808,0.0026,-0.0297,0.0308,0.195,49 days
2024-01-05,AAPL,2024-02-23,155.0,Call,26.45,28.4,0.2721,0.9529,0.0054,-0.0395,0.065,0.1946,49 days
2024-01-05,AAPL,2024-02-23,160.0,Call,22.3,23.8,0.2896,0.9,0.0091,-0.0551,0.1178,0.188,49 days
2024-01-05,AAPL,2024-02-23,165.0,Call,17.85,19.15,0.2675,0.8564,0.0128,-0.0613,0.1491,0.1836,49 days
2024-01-05,AAPL,2024-02-23,170.0,Call,13.35,14.95,0.2457,0.7936,0.0175,-0.0667,0.1953,0.1743,49 days
2024-01-05,AAPL,2024-02-23,175.0,Call,9.5,10.5,0.2193,0.7074,0.0237,-0.0686,0.2265,0.1591,49 days
2024-01-05,AAPL,2024-02-23,180.0,Call,6.65,8.5,0.243,0.573,0.0244,-0.0789,0.2605,0.1297,49 days
2024-01-05,AAPL,2024-02-23,185.0,Call,4.1,5.2,0.2217,0.4427,0.0269,-0.0706,0.2634,0.1021,49 days
2024-01-05,AAPL,2024-02-23,190.0,Call,2.11,2.59,0.1975,0.2945,0.0264,-0.0537,0.232,0.0691,49 days
2024-01-05,AAPL,2024-02-23,195.0,Call,1.25,1.39,0.1999,0.1878,0.0203,-0.0412,0.1786,0.0438,49 days
2024-01-05,AAPL,2024-02-23,200.0,Call,0.62,0.67,0.1974,0.1059,0.0139,-0.0271,0.1213,0.0248,49 days
2024-01-05,AAPL,2024-02-23,205.0,Call,0.15,0.4,0.1935,0.0522,0.0083,-0.0153,0.0708,0.0123,49 days
2024-01-05,AAPL,2024-02-23,210.0,Call,0.09,0.19,0.1991,0.0283,0.0049,-0.0094,0.0429,0.0066,49 days
2024-01-05,AAPL,2024-02-23,215.0,Call,0.08,0.15,0.2193,0.0218,0.0035,-0.0083,0.0346,0.0051,49 days
2024-01-05,AAPL,2024-02-23,220.0,Call,0.05,0.1,0.2303,0.0143,0.0023,-0.006,0.0241,0.0033,49 days
2024-01-05,AAPL,2024-02-23,225.0,Call,0.01,0.11,0.2672,0.0177,0.0024,-0.0083,0.0289,0.0041,49 days
2024-01-05,AAPL,2024-02-23,230.0,Call,0.0,0.24,0.3268,0.0298,0.0031,-0.0157,0.0448,0.0069,49 days
2024-01-05,AAPL,2024-02-23,235.0,Call,0.01,0.23,0.349,0.0271,0.0027,-0.0154,0.0415,0.0062,49 days
2024-01-08,AAPL,2024-01-19,130.0,Call,55.55,56.2,0.915,0.9901,0.0008,-0.0542,0.0085,0.0385,11 days
2024-01-08,AAPL,2024-01-19,135.0,Call,50.1,51.15,0.7494,0.9941,0.0006,-0.0379,0.0053,0.0402,11 days
2024-01-08,AAPL,2024-01-19,140.0,Call,45.6,46.0,0.5838,0.9977,0.0003,-0.0265,0.0022,0.0419,11 days
2024-01-08,AAPL,2024-01-19,145.0,Call,40.15,41.05,0.5424,0.9963,0.0006,-0.0299,0.0034,0.0433,11 days
2024-01-08,AAPL,2024-01-19,150.0,Call,35.6,36.0,0.4748,0.9958,0.0007,-0.0304,0.0039,0.0448,11 days
2024-01-08,AAPL,2024-01-19,152.5,Call,33.1,33.75,0.554,0.9823,0.0024,-0.0572,0.0139,0.0448,11 days
2024-01-08,AAPL,2024-01-19,157.5,Call,28.05,28.6,0.3464,0.9973,0.0007,-0.0273,0.0026,0.0472,11 days
2024-01-08,AAPL,2024-01-19,162.5,Call,22.75,23.8,0.334,0.9905,0.0023,-0.0361,0.0081,0.0483,11 days
2024-01-08,AAPL,2024-01-19,167.5,Call,18.2,18.85,0.3511,0.9588,0.0077,-0.0689,0.0283,0.048,11 days
2024-01-08,AAPL,2024-01-19,170.0,Call,15.4,16.35,0.2369,0.9857,0.0047,-0.0372,0.0116,0.0503,11 days
2024-01-08,AAPL,2024-01-19,175.0,Call,10.95,11.35,0.2524,0.9187,0.0185,-0.0791,0.0484,0.0479,11 days
